Make,Fuel-Type,Aspiration,Num-of-Doors,Body-Style,Drive-Wheels,Engine-Location,Wheel-Base,Length,Width,Height,Curb-Weight,Engine-Type,Cylinders,Engine-Size,Fuel-System,Bore,Stroke,Compression-ratio,Horsepower,Peak-rpm,City-MPG,Highway-MPG,Price,MPG-difference,Car-Area
alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4.0,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495,6,528019.904
alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4.0,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500,6,528019.904
alfa-romero,gas,std,2.0,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6.0,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500,7,587592.6399999999
audi,gas,std,4.0,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4.0,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,6,634816.956
audi,gas,std,4.0,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5.0,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,4,636734.8319999999
audi,gas,std,2.0,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5.0,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250,6,624189.969
audi,gas,std,4.0,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5.0,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,6,766364.0460000001
audi,gas,std,4.0,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5.0,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920,6,766364.0460000001
audi,gas,turbo,4.0,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5.0,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875,3,769115.802
bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4.0,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,6,622095.5519999999
bmw,gas,std,4.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4.0,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925,6,622095.5519999999
bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6.0,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,7,622095.5519999999
bmw,gas,std,4.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6.0,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105,7,622095.5519999999
bmw,gas,std,4.0,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,6.0,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565,5,704276.3700000001
bmw,gas,std,4.0,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,6.0,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760,6,704276.3700000001
bmw,gas,std,2.0,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6.0,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315,6,706639.3740000002
bmw,gas,std,4.0,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,6.0,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880,5,786358.99
chevrolet,gas,std,2.0,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3.0,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151,6,452643.156
chevrolet,gas,std,2.0,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,4.0,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,5,515592.48
chevrolet,gas,std,4.0,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,4.0,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,5,525183.36
dodge,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4.0,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572,4,509815.59199999995
dodge,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4.0,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377,7,509815.59199999995
dodge,gas,turbo,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4.0,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,6,509815.59199999995
dodge,gas,std,4.0,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4.0,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,7,507808.444
dodge,gas,std,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4.0,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,7,507808.444
dodge,gas,std,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4.0,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,7,507808.444
dodge,gas,turbo,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4.0,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558,6,507808.444
dodge,gas,std,4.0,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4.0,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921,6,674493.7679999998
dodge,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4.0,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964,5,576454.632
honda,gas,std,2.0,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4.0,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479,5,469388.95199999993
honda,gas,std,2.0,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4.0,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855,7,469388.95199999993
honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,4.0,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399,4,504960.0
honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,4.0,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529,4,504960.0
honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,4.0,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129,4,504960.0
honda,gas,std,4.0,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,4.0,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295,4,569939.2000000001
honda,gas,std,4.0,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4.0,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295,4,585255.6269999999
honda,gas,std,2.0,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4.0,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895,6,582089.2999999999
honda,gas,std,2.0,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4.0,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095,6,582089.2999999999
honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4.0,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845,6,618691.9280000001
honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4.0,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295,6,593071.25
honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4.0,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945,4,618691.9280000001
honda,gas,std,2.0,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,4.0,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345,6,569190.6
isuzu,gas,std,4.0,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4.0,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785,5,564385.4099999999
isuzu,gas,std,2.0,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,4.0,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048,5,578430.928
jaguar,gas,std,4.0,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6.0,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250,4,733506.0479999998
jaguar,gas,std,4.0,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6.0,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550,4,733506.0479999998
jaguar,gas,std,2.0,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,12.0,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000,4,646926.1559999998
mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4.0,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195,1,552589.302
mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4.0,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095,7,552589.302
mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4.0,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795,7,552589.302
mazda,gas,std,4.0,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4.0,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695,7,579333.0960000001
mazda,gas,std,4.0,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4.0,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395,7,579333.0960000001
mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2.0,70,4bbl,3.2100000000000004,3.27,9.4,101.0,6000.0,17,23,10945,6,550723.68
mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2.0,70,4bbl,3.2100000000000004,3.27,9.4,101.0,6000.0,17,23,11845,6,550723.68
mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,2.0,70,4bbl,3.2100000000000004,3.27,9.4,101.0,6000.0,17,23,13645,6,550723.68
mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,2.0,80,mpfi,3.2100000000000004,3.27,9.4,135.0,6000.0,16,23,15645,7,550723.68
mazda,gas,std,2.0,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4.0,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845,6,634932.6900000001
mazda,gas,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4.0,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495,6,656215.3500000001
mazda,gas,std,2.0,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4.0,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595,6,634932.6900000001
mazda,gas,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4.0,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245,6,656215.3500000001
mazda,diesel,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4.0,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795,6,656215.3500000001
mazda,gas,std,4.0,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4.0,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245,6,656215.3500000001
mazda,gas,std,4.0,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,4.0,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280,8,629271.9999999999
mazda,diesel,std,4.0,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,4.0,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344,8,629271.9999999999
mercedes-benz,diesel,turbo,4.0,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,5.0,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552,3,758245.255
mercedes-benz,diesel,turbo,4.0,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,5.0,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248,3,787769.849
mercedes-benz,diesel,turbo,2.0,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5.0,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176,3,723650.625
mercedes-benz,diesel,turbo,4.0,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5.0,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600,3,817837.446
mercedes-benz,gas,std,4.0,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8.0,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184,2,820742.73
mercedes-benz,gas,std,2.0,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8.0,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056,2,645726.42
mercedes-benz,gas,std,4.0,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8.0,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960,2,846007.6590000001
mercedes-benz,gas,std,2.0,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,8.0,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400,2,794568.96
mercury,gas,turbo,2.0,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,4.0,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503,5,664789.76
mitsubishi,gas,std,2.0,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4.0,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389,4,514610.096
mitsubishi,gas,std,2.0,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4.0,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189,7,514610.096
mitsubishi,gas,std,2.0,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4.0,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669,7,514610.096
mitsubishi,gas,turbo,2.0,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,4.0,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,6,509815.59199999995
mitsubishi,gas,turbo,2.0,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,4.0,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,7,558921.48
mitsubishi,gas,std,2.0,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,4.0,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499,7,558921.48
mitsubishi,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4.0,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629,5,576454.632
mitsubishi,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4.0,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869,5,576454.632
mitsubishi,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4.0,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489,5,576454.632
mitsubishi,gas,std,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4.0,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989,7,581787.9360000001
mitsubishi,gas,std,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4.0,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189,7,581787.9360000001
mitsubishi,gas,turbo,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4.0,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,7,581787.9360000001
mitsubishi,gas,std,4.0,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4.0,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,7,581787.9360000001
nissan,gas,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499,6,574764.63
nissan,diesel,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4.0,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099,5,574764.63
nissan,gas,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649,6,574764.63
nissan,gas,std,4.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,6,574764.63
nissan,gas,std,4.0,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,6,580943.6599999999
nissan,gas,std,2.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299,6,574764.63
nissan,gas,std,2.0,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799,6,563129.4239999999
nissan,gas,std,4.0,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499,6,574764.63
nissan,gas,std,4.0,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999,6,580943.6599999999
nissan,gas,std,2.0,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4.0,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249,6,552247.696
nissan,gas,std,4.0,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4.0,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949,7,618420.696
nissan,gas,std,4.0,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4.0,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549,7,618420.696
